iteration,sector,failed_metric,diagnosis,repair_action,asset_id,before_value,after_value,threshold_unchanged
25,drinking_water,infeasible zone pressure span,"WZ1: required head shift interval [19.514, 17.112] m is empty",upsize highest-loss pipe on critical path by one catalogue class,W_P001019,100.0,125.0,True
26,drinking_water,infeasible zone pressure span,"WZ2: required head shift interval [20.045, 19.405] m is empty",upsize highest-loss pipe on critical path by one catalogue class,W_P002208,80.0,100.0,True
27,drinking_water,infeasible zone pressure span,"WZ1: required head shift interval [19.004, 17.112] m is empty",upsize highest-loss pipe on critical path by one catalogue class,W_P000335,100.0,125.0,True
28,drinking_water,zone pressure window,WZ2: peak minimum 8.566 m; average maximum 50.595 m,adjust head-controlled zone boundary setpoint,WZ2_BOUNDARY,276.97,296.3751208496094,True
29,drinking_water,infeasible zone pressure span,"WZ1: required head shift interval [18.981, 17.112] m is empty",upsize highest-loss pipe on critical path by one catalogue class,W_P000800,80.0,100.0,True
30,drinking_water,infeasible zone pressure span,"WZ1: required head shift interval [18.287, 17.112] m is empty",upsize highest-loss pipe on critical path by one catalogue class,W_P000934,100.0,125.0,True
31,drinking_water,infeasible zone pressure span,"WZ1: required head shift interval [18.151, 17.112] m is empty",upsize highest-loss pipe on critical path by one catalogue class,W_P000661,125.0,150.0,True
32,drinking_water,infeasible zone pressure span,"WZ1: required head shift interval [17.428, 17.112] m is empty",upsize highest-loss pipe on critical path by one catalogue class,W_P000082,80.0,100.0,True
33,drinking_water,infeasible zone pressure span,"WZ1: required head shift interval [17.384, 17.112] m is empty",upsize highest-loss pipe on critical path by one catalogue class,W_P000967,100.0,125.0,True
34,drinking_water,zone pressure window,WZ1: peak minimum 10.515 m; average maximum 52.888 m,adjust head-controlled zone boundary setpoint,WZ1_BOUNDARY,260.32,277.43158752441406,True
